vehiculo_marca,vehiculo_modelo,vehiculo_tipo,vehiculo_traccion,vehiculo_cilindrada,vehiculo_tipo_transmision,vehiculo_tipo_combustible,vehiculo_standard_emision,emision_CO2,consumo_urbano,consumo_extraurbano,consumo_mixto
BMW,X4 xDrive 20i,5 Puertas,4x4,1998.0,AUTOMATICA,NAFTA,EURO VI c,178.0,9.0,7.1,7.8
NISSAN,FRONTIER o NP300 FRONTIER,PICK UP,4x2,2298.0,MANUAL,GAS OIL,EURO V,176.0,7.8,6.1,6.7
NISSAN,FRONTIER o NP300 FRONTIER,PICK UP,4x4,2298.0,MANUAL,GAS OIL,EURO V,184.0,8.0,6.4,7.0
NISSAN,FRONTIER o NP300 FRONTIER,PICK UP,4x4,2298.0,AUTOMATICA,GAS OIL,EURO V,201.0,9.7,6.5,7.6
BMW,X4 xDrive 30i,5 Puertas,4x4,1998.0,AUTOMATICA,NAFTA,EURO VI c,177.0,9.3,6.9,7.8
RENAULT,ALASKAN 2.3 190 HP,PICK UP,4x2,2298.0,MANUAL,GAS OIL,EURO V,176.0,7.8,6.1,6.7
TOYOTA,HILUX,PICK UP,4x4,3956.0,AUTOMATICA,NAFTA,EURO V,282.0,16.5,9.6,12.1
MINI,COOPER S,Coupe,4x2,1998.0,MANUAL,NAFTA,EURO VI c,144.0,8.0,5.3,6.3
MINI,COOPER S,5 Puertas,4x2,1998.0,MANUAL,NAFTA,EURO VI c,147.0,8.1,5.5,6.4
MINI,COOPER S,Coupe,4x2,1998.0,MANUAL,NAFTA,EURO VI c,150.0,8.3,5.6,6.6
MINI,COOPER S,Coupe,4x2,1998.0,AUTOMATICA,NAFTA,EURO VI c,125.0,6.8,4.8,5.5
MINI,COOPER S,5 Puertas,4x2,1998.0,AUTOMATICA,NAFTA,EURO VI c,128.0,6.9,4.9,5.6
MINI,COOPER S,Coupe,4x2,1998.0,AUTOMATICA,NAFTA,EURO VI c,131.0,7.0,5.1,5.7
HONDA,HR-V,4 Puertas,4x2,1799.0,CVT,NAFTA,EURO V,151.0,8.2,5.5,6.5
